timestamp,server_id,cpu,memory,disk,temperature,health,status,max_memory,max_cpu,target_temp,auto_restart,net_up_speed,net_down_speed,power_watts,fan_rpm,latency
2026-01-14 10:43:01,1,19.53,25.28,65.17,52.93,100.0,running,100.0,100.0,40.0,False,21.6,125.7,160.4,2164,29.9
2026-01-14 10:43:01,2,10.78,31.33,50.26,49.29,100.0,running,100.0,100.0,40.0,False,33.9,19.7,144.4,2146,28.7
2026-01-14 10:43:01,3,44.65,52.91,57.43,50.05,100.0,running,100.0,100.0,40.0,False,104.0,129.9,240.1,2150,42.4
2026-01-14 10:43:01,4,34.31,39.96,36.89,52.34,100.0,running,100.0,100.0,40.0,False,56.9,77.2,203.5,2161,34.2
2026-01-14 10:43:01,5,38.07,52.59,51.73,46.41,100.0,running,100.0,100.0,40.0,False,62.7,130.7,221.9,2132,41.0
2026-01-14 10:43:01,6,52.5,64.14,35.76,48.03,100.0,running,100.0,100.0,40.0,False,121.9,197.8,259.3,2140,52.2
2026-01-14 10:43:01,7,49.02,43.53,54.09,44.83,100.0,running,100.0,100.0,40.0,False,93.8,110.8,248.8,2124,48.8
2026-01-14 10:43:01,8,15.54,46.14,38.87,45.49,100.0,running,100.0,100.0,40.0,False,18.3,109.8,166.7,2127,35.4
2026-01-14 10:43:01,9,50.16,40.05,57.41,56.02,100.0,running,100.0,100.0,40.0,False,95.4,165.9,248.2,2180,48.3
2026-01-14 10:43:01,10,26.39,49.88,53.33,43.2,100.0,running,100.0,100.0,40.0,False,65.4,119.8,195.1,2116,42.4
2026-01-14 10:43:06,1,21.27,28.87,65.53,50.75,100.0,running,100.0,100.0,40.0,False,24.2,54.7,168.0,2301,30.0
2026-01-14 10:43:06,2,14.71,33.03,50.61,46.84,100.0,running,100.0,100.0,40.0,False,36.8,59.5,151.5,2266,23.9
2026-01-14 10:43:06,3,47.7,54.93,57.88,51.73,100.0,running,100.0,100.0,40.0,False,105.5,106.4,250.7,2293,45.0
2026-01-14 10:43:06,4,31.09,39.63,37.33,50.41,100.0,running,100.0,100.0,40.0,False,76.1,145.4,199.6,2297,37.2
2026-01-14 10:43:06,5,35.97,54.12,52.0,47.15,100.0,running,100.0,100.0,40.0,False,69.8,56.0,214.5,2254,39.9
2026-01-14 10:43:06,6,56.4,68.83,36.19,50.01,100.0,running,100.0,100.0,40.0,False,97.4,94.8,277.0,2276,51.3
2026-01-14 10:43:06,7,49.25,46.87,54.39,47.31,100.0,running,100.0,100.0,40.0,False,95.3,149.4,250.6,2248,47.7
2026-01-14 10:43:06,8,28.27,45.36,39.01,45.42,100.0,running,100.0,100.0,40.0,False,51.6,112.6,192.1,2241,34.2
2026-01-14 10:43:06,9,55.55,39.89,57.64,56.39,100.0,running,100.0,100.0,40.0,False,113.6,190.4,258.6,2344,49.2
2026-01-14 10:43:06,10,34.34,52.96,53.72,45.98,100.0,running,100.0,100.0,40.0,False,81.1,164.8,211.6,2234,49.2
2026-01-14 10:43:11,1,18.21,32.5,65.9,49.57,100.0,running,100.0,100.0,40.0,False,17.7,22.9,159.9,2419,29.3
2026-01-14 10:43:11,2,20.85,35.23,50.96,46.45,100.0,running,100.0,100.0,40.0,False,40.3,139.7,169.8,2371,31.5
2026-01-14 10:43:11,3,47.2,57.29,58.33,51.28,100.0,running,100.0,100.0,40.0,False,87.1,157.4,245.4,2420,45.6
2026-01-14 10:43:11,4,30.62,42.78,37.77,48.98,100.0,running,100.0,100.0,40.0,False,67.7,112.1,195.7,2412,34.7
2026-01-14 10:43:11,5,44.15,59.05,52.27,49.47,100.0,running,100.0,100.0,40.0,False,91.8,142.6,241.4,2376,51.0
2026-01-14 10:43:11,6,65.25,66.31,36.63,52.67,100.0,running,100.0,100.0,40.0,False,147.5,186.0,300.2,2411,61.7
2026-01-14 10:43:11,7,56.16,50.9,54.68,49.98,100.0,running,100.0,100.0,40.0,False,122.9,201.0,261.3,2373,47.7
2026-01-14 10:43:11,8,35.29,51.29,39.15,47.4,100.0,running,100.0,100.0,40.0,False,77.0,97.2,210.9,2354,40.8
2026-01-14 10:43:11,9,55.97,43.03,57.88,55.07,100.0,running,100.0,100.0,40.0,False,94.0,170.6,265.2,2484,45.8
2026-01-14 10:43:11,10,32.79,57.15,54.1,46.8,100.0,running,100.0,100.0,40.0,False,66.7,163.4,215.0,2344,49.9
2026-01-14 10:43:16,1,24.73,36.45,66.26,48.19,100.0,running,100.0,100.0,40.0,False,44.4,78.2,182.2,2518,29.3
2026-01-14 10:43:16,2,16.34,39.12,51.32,45.7,100.0,running,100.0,100.0,40.0,False,13.5,28.6,160.9,2463,27.9
2026-01-14 10:43:16,3,50.78,60.0,58.78,52.75,100.0,running,100.0,100.0,40.0,False,100.2,92.1,256.9,2542,48.0
2026-01-14 10:43:16,4,33.38,46.83,38.2,48.68,100.0,running,100.0,100.0,40.0,False,86.6,95.9,211.4,2514,43.7
2026-01-14 10:43:16,5,44.68,62.31,52.54,49.74,100.0,running,100.0,100.0,40.0,False,83.8,81.8,238.2,2487,53.2
2026-01-14 10:43:16,6,60.27,71.21,37.07,52.8,100.0,running,100.0,100.0,40.0,False,121.7,119.7,291.1,2534,60.7
2026-01-14 10:43:16,7,61.1,50.01,54.97,52.29,100.0,running,100.0,100.0,40.0,False,119.1,116.2,274.5,2497,55.9
2026-01-14 10:43:16,8,40.57,55.7,39.29,48.03,100.0,running,100.0,100.0,40.0,False,97.0,149.6,227.1,2459,46.9
2026-01-14 10:43:16,9,50.05,43.76,58.11,54.48,100.0,running,100.0,100.0,40.0,False,108.5,187.5,247.7,2608,50.4
2026-01-14 10:43:16,10,31.9,59.33,54.49,47.75,100.0,running,100.0,100.0,40.0,False,74.0,89.4,208.7,2449,47.7
2026-01-14 10:43:21,1,27.44,37.3,66.63,48.43,100.0,running,100.0,100.0,40.0,False,59.4,99.5,187.0,2608,32.9
2026-01-14 10:43:21,2,16.73,42.71,51.67,44.35,100.0,running,100.0,100.0,40.0,False,34.8,76.0,166.0,2538,36.2
2026-01-14 10:43:21,3,51.6,58.99,59.23,52.33,100.0,running,100.0,100.0,40.0,False,93.3,145.1,256.2,2649,50.3
2026-01-14 10:43:21,4,34.23,49.04,38.64,49.69,100.0,running,100.0,100.0,40.0,False,58.4,63.1,211.8,2611,40.9
2026-01-14 10:43:21,5,45.18,66.34,52.81,49.87,100.0,running,100.0,100.0,40.0,False,83.0,111.5,248.1,2588,51.6
2026-01-14 10:43:21,6,64.0,72.42,37.51,54.56,100.0,running,100.0,100.0,40.0,False,124.4,210.3,295.3,2654,60.9
2026-01-14 10:43:21,7,70.84,53.34,55.26,53.88,100.0,running,100.0,100.0,40.0,False,153.1,159.0,307.8,2617,57.0
2026-01-14 10:43:21,8,33.79,57.42,39.44,48.37,100.0,running,100.0,100.0,40.0,False,53.6,92.7,212.1,2555,41.5
2026-01-14 10:43:21,9,53.39,46.25,58.34,54.62,100.0,running,100.0,100.0,40.0,False,124.8,165.6,260.6,2721,46.4
2026-01-14 10:43:21,10,36.23,58.11,54.87,48.67,100.0,running,100.0,100.0,40.0,False,87.6,55.1,220.6,2547,44.0
2026-01-14 10:43:26,1,24.63,39.84,66.99,48.31,100.0,running,100.0,100.0,40.0,False,51.0,51.5,185.0,2689,32.7
2026-01-14 10:43:26,2,18.21,44.79,52.03,45.16,100.0,running,100.0,100.0,40.0,False,36.8,104.5,164.9,2610,30.8
2026-01-14 10:43:26,3,48.19,57.32,59.68,52.03,100.0,running,100.0,100.0,40.0,False,94.4,83.1,244.9,2745,47.1
2026-01-14 10:43:26,4,33.79,49.78,39.08,48.78,100.0,running,100.0,100.0,40.0,False,55.5,116.4,213.6,2694,40.8
2026-01-14 10:43:26,5,45.29,65.68,53.07,50.41,100.0,running,100.0,100.0,40.0,False,81.3,123.7,246.4,2681,47.9
2026-01-14 10:43:26,6,68.78,70.41,37.95,54.83,100.0,running,100.0,100.0,40.0,False,146.1,180.6,311.2,2762,66.5
2026-01-14 10:43:26,7,69.47,57.49,55.56,55.1,100.0,running,100.0,100.0,40.0,False,137.3,208.3,303.4,2730,58.4
2026-01-14 10:43:26,8,38.3,62.41,39.58,49.86,100.0,running,100.0,100.0,40.0,False,92.3,119.0,224.2,2649,46.7
2026-01-14 10:43:26,9,55.02,44.9,58.57,54.21,100.0,running,100.0,100.0,40.0,False,126.7,106.7,260.6,2820,50.7
2026-01-14 10:43:26,10,40.18,59.29,55.26,50.09,100.0,running,100.0,100.0,40.0,False,99.7,75.9,225.3,2643,43.5
2026-01-14 10:43:31,1,29.84,42.08,67.36,48.0,100.0,running,100.0,100.0,40.0,False,70.8,96.2,195.9,2760,38.5
